record_class,_basis,scale,mode,replicate,frame,active_cycles,blocked_cycles,wall_cycles,latency_ns,active_wall_pct,equivalence_predicted,status
DATA,DATASET,S0,CPU_ONLY,_RUN_1,1,78722,534022,612744,18567996,12.847453,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,2,72974,529835,602809,18266944,12.105659,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,3,77173,494501,571674,17323440,13.499477,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,4,69434,534729,604163,18307962,11.492594,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,5,75515,520793,596308,18069946,12.663758,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,6,73157,539356,612513,18560997,11.943747,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,7,77704,544104,621808,18842656,12.496462,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,8,70543,501119,571662,17323089,12.339984,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,9,74358,530505,604863,18329188,12.293362,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,10,67067,535689,602756,18265330,11.126725,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,11,71727,511787,583514,17682239,12.292250,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,12,70339,540724,611063,18517064,11.510924,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,13,73686,552833,626519,18985413,11.761176,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,14,68935,507286,576221,17461236,11.963292,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,15,74965,519493,594458,18013882,12.610647,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,16,69636,537808,607444,18407398,11.463773,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,17,78850,497192,576042,17455805,13.688238,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,18,68672,552860,621532,18834315,11.048828,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,19,64709,518797,583506,17681998,11.089689,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,20,71728,557193,628921,19058209,11.404930,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,21,70761,477086,547847,16601439,12.916197,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,22,68203,530164,598367,18132343,11.398189,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,23,67582,559976,627558,19016915,10.769044,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,24,69437,511053,580490,17590618,11.961791,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,25,71890,517531,589421,17861236,12.196715,VERTIFIED,DATA
