scale,run_id,mode,frame,active_cycles,blocked_cycles,wall_cycles,latency_ns,active_wall_pct,idle_rate_permille,background_units_per_second,framebuffer_crc,status,error,timeout
S0,PILOT-S0-4F-v3,CPU_ONLY,1,74007,0,176842,5358848,41.849221338822225,999,0,4084989873,PASS,NONE,False
S0,PILOT-S0-4F-v3,CPU_ONLY,2,76395,0,589256,17856242,12.964653732842772,1000,0,1023257933,PASS,NONE,False
S0,PILOT-S0-4F-v3,CPU_ONLY,3,71787,0,586891,17784575,12.231743202741225,1000,0,3542883137,PASS,NONE,False
S0,PILOT-S0-4F-v3,CPU_ONLY,4,69371,0,591778,17932666,11.722470250668325,1000,0,2153087901,PASS,NONE,False
S0,PILOT-S0-4F-v3,CPU_MATMUL,1,64513,0,176364,5344363,36.57946066090585,999,0,4084989873,PASS,NONE,False
S0,PILOT-S0-4F-v3,CPU_MATMUL,2,67050,0,588620,17836969,11.39105025313445,1000,0,1023257933,PASS,NONE,False
S0,PILOT-S0-4F-v3,CPU_MATMUL,3,62421,0,585918,17755090,10.653538549762937,1000,0,3542883137,PASS,NONE,False
S0,PILOT-S0-4F-v3,CPU_MATMUL,4,59972,0,128262,3886727,46.75741840919368,999,0,2153087901,PASS,NONE,False
S0,PILOT-S0-4F-v3,SCENE_CONTROLLER,1,1727,202105,224191,6793666,0.7703253029782641,999,0,4084989873,PASS,NONE,False
S0,PILOT-S0-4F-v3,SCENE_CONTROLLER,2,1727,108175,130220,3946060,1.3262171709414836,1000,0,2192081081,PASS,NONE,False
S0,PILOT-S0-4F-v3,SCENE_CONTROLLER,3,1738,111095,129759,3932090,1.3394061298252915,1000,28,120096717,PASS,NONE,False
S0,PILOT-S0-4F-v3,SCENE_CONTROLLER,4,1738,108767,130844,3964969,1.328299348842897,1000,20,3167782645,PASS,NONE,False
S1,PILOT-S1-4F-20260912,CPU_ONLY,1,178692,0,640150,19398484,27.914082636881982,999,0,892410657,PASS,NONE,False
S1,PILOT-S1-4F-20260912,CPU_ONLY,2,220730,0,591378,17920545,37.32468911592924,1000,0,3417150361,PASS,NONE,False
S1,PILOT-S1-4F-20260912,CPU_ONLY,3,208543,0,586437,17770818,35.56102360526365,1000,0,3420746741,PASS,NONE,False
S1,PILOT-S1-4F-20260912,CPU_ONLY,4,162402,0,585003,17727363,27.760883277521653,1000,0,1244579317,PASS,NONE,False
S1,PILOT-S1-4F-20260912,CPU_MATMUL,1,157002,0,639664,19383757,24.54444833537607,999,0,892410657,PASS,NONE,False
S1,PILOT-S1-4F-20260912,CPU_MATMUL,2,195989,0,590250,17886363,33.20440491317238,1000,0,3417150361,PASS,NONE,False
S1,PILOT-S1-4F-20260912,CPU_MATMUL,3,186197,0,586064,17759515,31.770762237571322,1000,0,3420746741,PASS,NONE,False
S1,PILOT-S1-4F-20260912,CPU_MATMUL,4,137510,0,584502,17712181,23.52601017618417,1000,0,1244579317,PASS,NONE,False
